name	eng	chi	refined
AGPAT2	The AGPAT2 gene provides instructions for making an enzyme that is found in many of the body's cells and tissues. It plays a critical role in the growth and development of adipocytes, which are cells that store fats for energy. Adipocytes are the major component of the body's fatty (adipose) tissue.The AGPAT2 enzyme is part of a chemical pathway in many cells that produces two important types of fats (lipids): glycerophospholipids and triacylglycerols.  Glycerophospholipids are the major component of cell membranes and are involved in chemical signaling within cells. Triacylglycerols (also known as triglycerides) are fat molecules that are stored in adipocytes for later conversion to energy.The AGPAT2 enzyme is responsible for a particular chemical reaction in the production of these two types of lipids.  Specifically, the enzyme helps convert a molecule called lysophosphatidic acid (LPA) to another molecule, phosphatidic acid (PA).  Additional reactions convert phosphatidic acid to glycerophospholipids and triacylglycerols.<> <>	AGPAT2基因提供了制造许多身体细胞和组织中发现的酶的说明。它在脂肪细胞的生长和发育中起着关键作用，脂肪细胞是储存脂肪供能的细胞。脂肪细胞是人体脂肪（脂肪）组织的主要成分.AGPAT2酶是许多细胞中产生两种重要类型脂肪（脂质）的化学途径的一部分：甘油磷脂和三酰甘油。甘油磷脂是细胞膜的主要成分，并参与细胞内的化学信号传导。三酰甘油（也称为甘油三酯）是储存在脂肪细胞中用于随后转化为能量的脂肪分子.AGPAT2酶在这两种类型的脂质的生产中负责特定的化学反应。具体而言，该酶有助于将称为溶血磷脂酸（LPA）的分子转化为另一种分子磷脂酸（PA）。另外的反应将磷脂酸转化成甘油磷脂和三酰甘油。<> <>	0
ACTN2	From NCBI Gene:Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins, including the alpha and beta spectrins and dystrophins. Alpha actinin is an actin-binding protein with multiple roles in different cell types. In nonmuscle cells, the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions, where it is involved in binding actin to the membrane. In contrast, skeletal, cardiac, and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies, where they help anchor the myofibrillar actin filaments. This gene encodes a muscle-specific, alpha actinin isoform that is expressed in both skeletal and cardiac muscles. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2013]From UniProt:F-actin cross-linking protein which is thought to anchor actin to a variety of intracellular structures. This is a bundling protein.<> <>	来自NCBI基因：α肌动蛋白属于血影蛋白基因超家族，其代表多种细胞骨架蛋白，包括α和β血影蛋白和肌营养不良蛋白。 α肌动蛋白是一种肌动蛋白结合蛋白，在不同细胞类型中具有多种作用。在非肌肉细胞中，细胞骨架同种型沿着微丝束和粘着型连接处发现，其中它参与肌动蛋白与膜的结合。相反，骨骼，心脏和平滑肌亚型定位于Z-盘和类似的致密体，它们有助于锚定肌原纤维肌动蛋白丝。该基因编码在肌肉和骨骼肌中表达的肌肉特异性α肌动蛋白异构体。已经发现编码不同同种型的几种转录物变体用于该基因。 [由RefSeq，2013年5月提供]来自UniProt：F-肌动蛋白交联蛋白，被认为可将肌动蛋白锚定到各种细胞内结构。这是一种捆绑蛋白。<> <>	0
ACTC1	From NCBI Gene:Actins are highly conserved proteins that are involved in various types of cell motility. Polymerization of globular actin (G-actin) leads to a structural filament (F-actin) in the form of a two-stranded helix. Each actin can bind to four others. The protein encoded by this gene belongs to the actin family which is comprised of three main groups of actin isoforms, alpha, beta, and gamma. The alpha actins are found in muscle tissues and are a major constituent of the contractile apparatus. Defects in this gene have been associated with idiopathic dilated cardiomyopathy (IDC) and familial hypertrophic cardiomyopathy (FHC). [provided by RefSeq, Jul 2008]From UniProt:Actins are highly conserved proteins that are involved in various types of cell motility and are ubiquitously expressed in all eukaryotic cells.<> <>	来自NCBI基因：肌动蛋白是高度保守的蛋白质，参与各种类型的细胞运动。球状肌动蛋白（G-肌动蛋白）的聚合产生双链螺旋形式的结构丝（F-肌动蛋白）。每个肌动蛋白可以绑定到其他四个。由该基因编码的蛋白质属于肌动蛋白家族，其由肌动蛋白同种型的三个主要组，α，β和γ组成。 α肌动蛋白存在于肌肉组织中并且是收缩装置的主要成分。该基因的缺陷与特发性扩张型心肌病（IDC）和家族性肥厚型心肌病（FHC）有关。 [由RefSeq，2008年7月提供]来自UniProt：肌动蛋白是高度保守的蛋白质，参与各种类型的细胞运动，并在所有真核细胞中普遍表达。<> <>	0
ACTA2	The ACTA2 gene provides instructions for making a protein called smooth muscle alpha (α)-2 actin, which is part of the actin protein family. Actin proteins are important for cell movement and the tensing (contraction) of muscles.Smooth muscle α-2 actin is found in smooth muscle cells. Smooth muscles line the internal organs, including the blood vessels, stomach, and intestines. Within smooth muscle cells, smooth muscle α-2 actin forms the core of structures called sarcomeres, which are necessary for muscles to contract. Smooth muscles contract and relax as part of their normal function without being consciously controlled.Layers of smooth muscle cells are found in the walls of the arteries, which are blood vessels that carry blood from the heart to the rest of the body. Smooth muscle α-2 actin contributes to the ability of these muscles to contract, which allows the arteries to maintain their shape instead of stretching out as blood is pumped through them.<> <>	ACTA2基因提供制造称为平滑肌α（α）-2肌动蛋白的蛋白质的说明，肌动蛋白是肌动蛋白家族的一部分。肌动蛋白对于细胞运动和肌肉紧张（收缩）很重要。平滑肌细胞中发现平滑肌α-2肌动蛋白。平滑的肌肉排列内部器官，包括血管，胃和肠。在平滑肌细胞内，平滑肌α-2肌动蛋白形成称为肌节的结构的核心，这是肌肉收缩所必需的。平滑肌收缩和放松作为其正常功能的一部分而没有被有意识地控制。平滑肌细胞层位于动脉壁中，它是将血液从心脏输送到身体其他部位的血管。平滑肌α-2肌动蛋白有助于这些肌肉收缩的能力，这允许动脉保持其形状，而不是在血液通过它们时被拉伸出来。<> <>	0
ABCG8	The ABCG8 gene provides instructions for making sterolin-2, which makes up half of a protein called sterolin. The other half of the sterolin protein, sterolin-1, is produced from a gene called ABCG5. Sterolin is involved in eliminating plant sterols, which are fatty components of plant-based foods that cannot be used by human cells.Sterolin is a transporter protein, which is a type of protein that moves substances across cell membranes. It is found mostly in cells of the intestines and liver and transports plant sterols. After plant sterols are absorbed from food into intestinal cells, the sterolin transporters in these cells pump them back into the intestinal tract. Sterolin transporters in liver cells pump the plant sterols into a fluid called bile that is released into the intestine. From the intestine, the plant sterols are eliminated with the feces. This process removes most of the dietary plant sterols, and allows only about 5 percent of these substances to get into the bloodstream. Sterolin also helps regulate levels of cholesterol, another fatty substance found in animal products, in a similar fashion; normally about 50 percent of cholesterol in the diet is absorbed by the body.<> <>	ABCG8基因提供了制造甾醇-2的说明，该甾醇-2构成称为甾醇的蛋白质的一半。另一半的甾醇蛋白，甾醇-1，由称为ABCG5的基因产生。 Sterolin参与消除植物甾醇，植物甾醇是人体细胞无法使用的植物性食物的脂肪组分。甾醇是一种转运蛋白，它是一种将物质穿过细胞膜的蛋白质。它主要存在于肠道和肝脏的细胞中，并运输植物甾醇。植物甾醇从食物中吸收到肠细胞中后，这些细胞中的甾醇转运蛋白将它们泵回肠道。肝细胞中的Sterolin转运体将植物甾醇泵入被称为胆汁的流体中，该胆汁释放到肠中。从肠道，植物甾醇与粪便一起消除。这个过程去除了大部分的饮食植物甾醇，并且只允许大约5％的这些物质进入血液。 Sterolin还以相似的方式帮助调节胆固醇水平，这是另一种在动物产品中发现的脂肪物质;通常约50％的饮食中的胆固醇被身体吸收。<> <>	0
ABCG5	The ABCG5 gene provides instructions for making sterolin-1, which makes up half of a protein called sterolin. The other half of the sterolin protein, sterolin-2, is produced from a gene called ABCG8. Sterolin is involved in eliminating plant sterols, which are fatty components of plant-based foods that cannot be used by human cells.Sterolin is a transporter protein, which is a type of protein that moves substances across cell membranes. It is found mostly in cells of the intestines and liver and transports plant sterols. After plant sterols are absorbed from food into intestinal cells, the sterolin transporters in these cells pump them back into the intestinal tract. Sterolin transporters in liver cells pump the plant sterols into a fluid called bile that is released into the intestine. From the intestine, the plant sterols are eliminated with the feces. This process removes most of the dietary plant sterols, and allows only about 5 percent of these substances to get into the bloodstream. Sterolin also helps regulate levels of cholesterol, another fatty substance found in animal products, in a similar fashion; normally about 50 percent of cholesterol in the diet is absorbed by the body.<> <>	ABCG5基因提供了制造甾醇-1的说明，该甾醇-1构成称为甾醇的蛋白质的一半。另一半的甾醇蛋白甾醇-2是由称为ABCG8的基因产生的。 Sterolin参与消除植物甾醇，植物甾醇是人体细胞无法使用的植物性食物的脂肪组分。甾醇是一种转运蛋白，它是一种将物质穿过细胞膜的蛋白质。它主要存在于肠道和肝脏的细胞中，并运输植物甾醇。植物甾醇从食物中吸收到肠细胞中后，这些细胞中的甾醇转运蛋白将它们泵回肠道。肝细胞中的Sterolin转运体将植物甾醇泵入被称为胆汁的流体中，该胆汁释放到肠中。从肠道，植物甾醇与粪便一起消除。这个过程去除了大部分的饮食植物甾醇，并且只允许大约5％的这些物质进入血液。 Sterolin还以相似的方式帮助调节胆固醇水平，这是另一种在动物产品中发现的脂肪物质;通常约50％的饮食中的胆固醇被身体吸收。<> <>	0
ABCC8	The ABCC8 gene provides instructions for making the sulfonylurea receptor 1 (SUR1) protein. The SUR1 protein is one part (subunit) of the ATP-sensitive potassium (K-ATP) channel that is found across cell membranes in the beta cells of the pancreas. Beta cells secrete insulin, which is a hormone that helps control blood sugar levels. Insulin controls how much sugar (in the form of glucose) is passed from the bloodstream into cells to be used as energy. The K-ATP channel controls the secretion of insulin out of beta cells and into the bloodstream. These channels open and close in response to the amount of glucose in the bloodstream, which helps regulate insulin secretion and control blood sugar levels. The closing of the channels results in a process that triggers insulin secretion by beta cells.<> <>	ABCC8基因提供了制备磺酰脲受体1（SUR1）蛋白的说明。 SUR1蛋白是在胰腺β细胞中跨细胞膜发现的ATP敏感性钾（K-ATP）通道的一部分（亚基）。 β细胞分泌胰岛素，这是一种有助于控制血糖水平的激素。胰岛素控制了多少糖（以葡萄糖的形式）从血液中流入细胞，用作能量。 K-ATP通道控制胰岛素从β细胞分泌并进入血液。这些通道响应血流中葡萄糖的量而打开和关闭，这有助于调节胰岛素分泌和控制血糖水平。通道闭合导致β细胞引发胰岛素分泌的过程。“>”>	0
ABCC9	The ABCC9 gene provides instructions for making the sulfonylurea receptor 2 (SUR2) protein. This protein forms one part (subunit) of a channel that transports charged atoms of potassium (potassium ions) across cell membranes.  Each of these channels consists of eight subunits: four SUR2 proteins and four proteins produced from either the KCNJ8 or KCNJ11 gene. The SUR2 subunits regulate the activity of the channel, determining whether it is open or closed.Channels made with the SUR2 protein are known as ATP-sensitive potassium (K-ATP) channels. The channels open and close in response to the amount of ATP, the cell's main energy source, inside the cell. The resulting transport of potassium ions is part of a complex network of signals that relay chemical messages into and out of cells.Although K-ATP channels are present in cells and tissues throughout the body, the highest levels of SUR2-containing channels are found in skeletal and heart (cardiac) muscle. These channels indirectly help regulate the concentration of calcium ions in cells. This regulation is essential for normal heart function. The function of these channels in other tissues is unclear.<> <>	ABCC9基因提供了制备磺酰脲受体2（SUR2）蛋白的说明。这种蛋白质形成通道的一部分（亚基），其将钾的带电原子（钾离子）穿过细胞膜。每个通道由8个亚基组成：4个SUR2蛋白和4个由KCNJ8或KCNJ11基因产生的蛋白。 SUR2亚基调节通道的活性，确定它是否打开或关闭。用SUR2蛋白制成的通道称为ATP敏感性钾（K-ATP）通道。通道响应细胞内细胞主要能量源ATP的数量而打开和关闭。由此产生的钾离子运输是复杂的信号网络的一部分，这些信号将化学信息传入和传出细胞。尽管K-ATP通道存在于整个身体的细胞和组织中，但含有SUR2的通道的最高水平可见于骨骼和心脏（心脏）肌肉。这些通道间接帮助调节细胞内钙离子的浓度。该规定对于正常心脏功能是必不可少的。这些通道在其他组织中的功能尚不清楚。<> <>	0
ABCA1	"The ABCA1 gene belongs to a group of genes called the ATP-binding cassette family, which provides instructions for making proteins that transport molecules across cell membranes. The ABCA1 protein is produced in many tissues, with high amounts found in the liver and in immune system cells called macrophages. This protein moves cholesterol and certain fats called phospholipids across the cell membrane to the outside of the cell. These substances are then picked up by a protein called apolipoprotein A-I (apoA-I), which is produced from the APOA1 gene. ApoA-I, cholesterol, and phospholipids combine to make high-density lipoprotein (HDL), often referred to as ""good cholesterol"" because high levels of this substance reduce the chances of developing heart and blood vessel (cardiovascular) disease. HDL is a molecule that carries cholesterol and phospholipids through the bloodstream from the body's tissues to the liver. Once in the liver, cholesterol and phospholipids are redistributed to other tissues or removed from the body. The process of removing excess cholesterol from cells is extremely important for balancing cholesterol levels and maintaining cardiovascular health.<> <>"	ABCA1基因属于称为ATP结合盒家族的一组基因，其提供了制造蛋白质的指导，所述蛋白质将分子穿过细胞膜转运。 ABCA1蛋白在许多组织中产生，在肝脏和被称为巨噬细胞的免疫系统细胞中发现高含量。这种蛋白质将胆固醇和某些称为磷脂的脂肪穿过细胞膜移动到细胞外。然后这些物质被称为载脂蛋白A-I（apoA-I）的蛋白质吸收，该蛋白质是由APOA1基因产生的。 ApoA-I，胆固醇和磷脂结合制造高密度脂蛋白（HDL），通常称为“好胆固醇”，因为高浓度的这种物质可以降低发生心脏和血管（心血管）疾病的几率。 HDL是一种通过血液中的胆固醇和磷脂从人体组织到肝脏的分子。一旦进入肝脏，胆固醇和磷脂就会重新分布到其他组织或从体内移除。从细胞中去除多余的胆固醇对于平衡胆固醇水平和维持心血管健康非常重要。“>”>	0
ALG10	From NCBI Gene:This gene encodes a membrane-associated protein that adds the third glucose residue to the lipid-linked oligosaccharide precursor for N-linked glycosylation. That is, it transfers the terminal glucose from dolichyl phosphate glucose (Dol-P-Glc) onto the lipid-linked oligosaccharide Glc2Man9GlcNAc(2)-PP-Dol. The rat protein homolog was shown to specifically modulate the gating function of the rat neuronal ether-a-go-go (EAG) potassium ion channel. [provided by RefSeq, Jan 2010]From UniProt:Adds the third glucose residue to the lipid-linked oligosaccharide precursor for N-linked glycosylation. Transfers glucose from dolichyl phosphate glucose (Dol-P-Glc) onto the lipid-linked oligosaccharide Glc(2)Man(9)GlcNAc(2)-PP-Dol.<> <>	来自NCBI基因：该基因编码膜结合蛋白，其将第三个葡萄糖残基添加至用于N-连接糖基化的脂质连接的寡糖前体。也就是说，它将末端葡萄糖从磷酸二甲酯葡萄糖（Dol-P-Glc）转移到脂质连接的寡糖Glc2Man9GlcNAc（2）-PP-Dol上。显示大鼠蛋白质同系物特异性调节大鼠神经元乙醚 - 去 - 去 - 去（EAG）钾离子通道的门控功能。 [由RefSeq，2010年1月提供]来自UniProt：将第三个葡萄糖残基添加至用于N-连接糖基化的脂质连接的寡糖前体。将来自磷酸二甲酯葡萄糖（Dol-P-Glc）的葡萄糖转移至脂质连接的寡糖Glc（2）Man（9）GlcNAc（2）-PP-Dol上。<> <>	0
